Datum,Jaar,Maand,Dag,Staatshoofd,WindrVec,WindrCat9,WindrCat5,Windsnelh,WindsnelhGem,WindsnelhMax,WindsnelhMaxUur,WindsnelhMin,WindsnelhMinUur,Windstoot,WindstootUur,TempGem,TempMin,TempMinUur,TempMax,TempMaxUur,Zonneschijn,ZonneschijnPerc,Straling,NeerslagDuur,RegenHoeveelh,RegenHoeveelhMax,LuchtdrukGem,LuchtdrukMax,LuchtdrukMin,ZichtMin,ZichtMinCat85,ZichtMinCat5,ZichtMinUur,ZichtMax,ZichtMaxCat85,ZichtMaxCat5,ZichtMaxUur,BewolkingGem,VochtighGem,VochtighMax,VochtighMaxUur,VochtighMin,VochtighMinUur,Verdamping
27-4-1901,1901,4,27,Wilhelmina,,,,,,,,,,,,7.2,2.2,,13,,5.9,40,,,,,,,,,,,,,,,,,78,,,,,
30-4-1901,1901,4,30,Wilhelmina,,,,,,,,,,,,9.9,6,,16.4,,6.1,41,,,,,,,,,,,,,,,,,84,,,,,
31-8-1901,1901,8,31,Wilhelmina,,,,,,,,,,,,15.1,12.8,,18.1,,0,0,,,,,,,,,,,,,,,,,99,,,,,
27-4-1902,1902,4,27,Wilhelmina,,,,,,,,,,,,7.8,1.6,,13,,14.6,100,,,,,1017.3,1021,1014.8,,,,,,,,,,43,,,,,
30-4-1902,1902,4,30,Wilhelmina,,,,,,,,,,,,7.4,3.3,,11.4,,0.05,0,,,,,1013.6,1019.8,1006,,,,,,,,,,77,,,,,
31-8-1902,1902,8,31,Wilhelmina,,,,,,,,,,,,15.4,12.3,,17.4,,0,0,,,,,1012.7,1013.8,1011,,,,,,,,,,90,,,,,
27-4-1903,1903,4,27,Wilhelmina,,,,,,,,,,,,8.4,5.6,,11.7,,0,0,,,,,1001,1002.4,999.8,,,,,,,,,,87,,,,,
30-4-1903,1903,4,30,Wilhelmina,,,,,,,,,,,,11.7,6.6,,16.4,,5.6,38,,,,,1002.9,1003.9,1001.2,,,,,,,,,,80,,,,,
31-8-1903,1903,8,31,Wilhelmina,,,,,,,,,,,,15.3,8.4,,19.8,,8.4,61,,,,,1017.8,1022.7,1014.4,,,,,,,,,,80,,,,,
27-4-1904,1904,4,27,Wilhelmina,263,W,W,4.1,4.6,7.7,16,3.1,1,,,7.5,2.8,,11.7,,3.8,26,,,,,1018.4,1019.8,1017.5,,,,,,,,,,81,,,,,
30-4-1904,1904,4,30,Wilhelmina,233,ZW,W,5.1,5.1,7.2,12,2.6,23,,,11.1,9.5,,13.3,,0,0,,,,,1015.8,1017.5,1014.3,,,,,,,,,,95,,,,,
31-8-1904,1904,8,31,Wilhelmina,190,Z,Z,2.6,3.1,4.1,11,1,1,,,16.2,11.3,,21.7,,0.2,1,,,,,1009.6,1010.8,1008.6,,,,,,,,,,90,,,,,
27-4-1905,1905,4,27,Wilhelmina,187,Z,Z,4.1,4.6,6.2,14,3.6,1,,,7.5,0.7,,11.4,,0,0,,,,,1015.8,1019.4,1010.8,,,,,,,,,,91,,,,,
30-4-1905,1905,4,30,Wilhelmina,198,Z,Z,7.2,7.7,11.3,21,4.1,5,,,11.1,7.8,,14.7,,2.2,15,,,,,1004.4,1005.9,1003,,,,,,,,,,73,,,,,
31-8-1905,1905,8,31,Wilhelmina,324,NW,N,4.6,4.6,7.2,17,3.1,7,,,13.9,10.3,,17.7,,2.6,19,,,,,1019.7,1023.5,1012.6,,,,,,,,,,80,,,,,
27-4-1906,1906,4,27,Wilhelmina,1,N,N,5.1,6.2,8.7,9,2.6,23,,,6.4,-0.6,,10.8,,6.4,44,,,0,0,1005.6,1006.3,1004.3,,,,,,,,,,77,,,,,
30-4-1906,1906,4,30,Wilhelmina,110,O,O,2.1,3.6,6.7,13,1.5,8,,,5.5,-1.3,,12.2,,6.6,45,,,2.9,2.6,1000.1,1000.6,999.8,,,,,,,,,,78,,,,,
31-8-1906,1906,8,31,Wilhelmina,136,ZO,Z,1,1.5,2.1,2,0.5,12,,,18.5,9.6,,27.4,,11.7,85,,,0,0,1022.6,1023.2,1022.2,,,,,,,,,,72,,,,,
27-4-1907,1907,4,27,Wilhelmina,355,N,N,2.1,3.1,4.1,14,1.5,4,,,4.8,1.5,,9.3,,4.6,31,,,1.1,0.6,1008.9,1009.9,1007.9,,,,,,,,,,76,,,,,
30-4-1907,1907,4,30,Wilhelmina,293,NW,W,2.1,2.6,4.1,17,1,21,,,6.8,2.8,,10.8,,1,7,,,1.1,0.4,1004.4,1005.1,1002.4,,,,,,,,,,86,,,,,
31-8-1907,1907,8,31,Wilhelmina,206,ZW,Z,2.6,4.1,6.7,14,2.6,1,,,15.6,8.8,,22.3,,6.1,44,,,0,0,1016.3,1020.6,1013.8,,,,,,,,,,86,,,,,
27-4-1908,1908,4,27,Wilhelmina,266,W,W,3.6,5.7,7.7,1,2.6,21,,,6.3,1.2,,11.5,,8.6,59,,,0,0,1010.8,1012.8,1009.1,,,,,,,,,,76,,,,,
30-4-1908,1908,4,30,Wilhelmina,215,ZW,Z,2.1,2.6,4.1,23,1,6,,,8.6,-1.8,,14.3,,4.8,32,,,3.1,0.8,1026.4,1027.4,1024.6,,,,,,,,,,74,,,,,
31-8-1908,1908,8,31,Wilhelmina,222,ZW,Z,4.1,4.6,7.7,24,2.6,1,,,13.4,9.2,,17.2,,6.1,44,,,1.1,0.7,1013,1015.5,1005.2,,,,,,,,,,77,,,,,
27-4-1909,1909,4,27,Wilhelmina,197,Z,Z,4.6,5.1,7.2,12,3.6,4,,,11.3,9.1,,13.4,,0.4,3,,,4.5,4.5,1008,1010.3,1004.8,,,,,,,,,,83,,,,,
30-4-1909,1909,4,30,Wilhelmina,306,NW,W,5.1,6.7,10.3,10,2.1,1,,,6,1.8,,10.3,,6,41,,,19.1,3.2,1010.4,1016.2,1002.2,,,,,,,,,,72,,,,,
31-8-1909,1909,8,31,Wilhelmina,276,W,W,5.7,6.7,13.4,15,3.6,21,,,11.7,8.4,,15.8,,5.9,43,,,11.8,3.8,1001.4,1007,997,,,,,,,,,,76,,,,,
27-4-1910,1910,4,27,Wilhelmina,282,W,W,3.6,4.6,7.2,11,1.5,21,,,7.4,1.5,,11.9,,11.4,78,,,0.1,0.1,1018.1,1020.3,1012.8,,,,,,,,,,67,,,,,
30-4-1910,1910,4,30,Wilhelmina,328,NW,N,5.1,5.1,8.2,11,2.1,21,,,6.5,1.1,,11.3,,9.2,62,,,0,0,1022.5,1024.4,1018.6,,,,,,,,,,74,,,,,
31-8-1910,1910,8,31,Wilhelmina,253,W,W,3.6,3.6,6.7,15,2.1,20,,,14.5,9.6,,18.5,,6,44,,,1.5,1.4,1022.8,1024.8,1019,,,,,,,,,,81,,,,,
27-4-1911,1911,4,27,Wilhelmina,229,ZW,W,7.2,7.7,9.3,11,5.1,9,,,7.7,5.1,,11,,0,0,,,8.4,2.3,1002,1010.6,994.2,,,,,,,,,,93,,,,,
30-4-1911,1911,4,30,Wilhelmina,282,W,W,4.6,6.2,8.2,17,4.6,6,,,8.2,4.5,,12.6,,4.9,33,,,1.3,0.5,1002.1,1010.2,997.2,,,,,,,,,,85,,,,,
31-8-1911,1911,8,31,Wilhelmina,217,ZW,Z,1,2.6,4.1,10,1,5,,,14.4,5.1,,21.5,,10.2,74,,,0,0,1025.4,1027.2,1023.5,,,,,,,,,,84,,,,,
27-4-1912,1912,4,27,Wilhelmina,42,NO,N,4.1,4.1,7.2,18,3.1,3,,,9.7,2.3,,16.1,,12.7,87,,,0,0,1011,1012.3,1009.9,,,,,,,,,,68,,,,,
